Elephant A,Elephant B,Number of contacts
6,13,22
11,13,22
5,13,21
1,12,14
3,19,12
15,18,19
6,15,19
0,3,26
5,20,19
15,21,33
22,23,56
1,9,19
1,18,21
3,23,26
5,8,18
11,19,40
7,15,15
19,21,18
12,14,51
8,11,19
21,23,41
19,22,14
14,22,20
3,16,19
3,6,24
1,16,16
4,10,20
16,22,18
4,5,55
1,13,18
0,13,21
8,18,48
13,21,25
2,3,20
16,21,24
8,14,19
4,18,19
2,12,26
3,10,12
5,18,27
12,22,21
12,17,23
0,20,22
0,11,19
1,8,21
0,7,22
9,14,21
5,23,18
16,17,36
13,18,15
0,15,15
11,15,14
1,10,19
18,23,47
16,19,18
9,21,21
6,16,23
11,20,19
6,17,19
5,10,28
4,9,17
17,18,23
6,12,21
3,22,16
9,11,50
0,21,14
0,16,20
8,20,20
2,18,26
14,15,22
15,23,20
6,18,18
20,23,23
6,11,20
0,9,13
9,17,20
2,11,12
11,22,23
8,9,22
10,22,19
0,19,16
4,19,26
15,20,22
6,9,21
2,4,17
15,17,43
4,16,24
20,22,20
2,13,21
4,17,32
7,8,46
11,17,40
3,4,53
5,14,26
11,16,14
10,13,19
10,12,28
14,23,18
5,7,15
3,11,26
7,10,21
2,10,28
7,12,15
2,8,21
11,18,33
6,7,39
15,19,23
9,16,26
4,13,21
10,17,21
11,12,24
16,18,24
1,5,23
0,10,16
1,22,26
7,22,20
6,20,22
13,23,21
4,21,16
3,17,24
1,15,16
4,20,13
8,21,22
1,19,17
10,20,27
5,17,21
1,3,21
9,18,22
17,19,21
4,11,19
2,15,20
12,16,25
9,23,22
3,21,28
0,23,17
0,6,28
1,11,16
1,20,22
13,22,18
6,22,18
12,19,16
2,20,23
3,5,50
5,11,20
3,12,40
14,21,23
17,23,30
3,9,16
5,6,15
8,15,16
1,23,17
1,2,45
10,19,19
18,20,33
6,10,19
3,13,23
11,23,22
8,22,21
17,21,19
7,20,15
6,19,21
4,12,22
0,8,16
5,9,26
2,5,19
1,6,18
0,4,39
10,18,22
10,14,24
2,16,11
8,10,15
8,16,29
14,20,20
2,17,16
2,14,16
17,20,25
13,16,21
1,21,40
21,22,47
12,21,20
6,23,19
3,8,17
0,1,38
8,12,11
10,21,63
7,19,28
4,23,20
3,18,20
14,17,22
12,23,16
9,10,48
14,19,16
4,22,24
0,17,23
8,19,18
7,11,22
1,17,20
2,21,18
13,19,17
14,18,20
5,19,25
5,15,14
9,20,18
7,23,24
4,15,15
2,7,25
8,17,13
11,14,21
8,13,24
10,23,21
2,6,14
13,15,20
2,19,16
5,21,20
15,22,12
9,19,26
2,23,20
19,23,12
13,17,40
9,15,26
0,22,14
8,23,18
5,12,14
7,17,25
0,2,35
9,12,19
1,4,17
13,14,49
7,13,18
5,16,22
3,7,24
18,21,30
1,7,16
17,22,16
7,9,13
9,13,19
5,22,14
4,6,26
9,22,25
18,19,41
12,20,24
7,14,14
3,20,27
13,20,17
6,14,23
7,18,9
12,18,23
18,22,24
1,14,13
16,20,21
3,14,22
0,18,25
3,15,20
19,20,48
10,16,23
4,7,23
6,21,30
10,15,13
10,11,57
0,12,17
12,15,21
12,13,48
6,8,52
2,22,22
2,9,22
4,8,7
0,14,28
11,21,22
7,16,15
16,23,24
15,16,34
0,5,19
4,14,15
7,21,18
14,16,20
20,21,24
