ancestor,descendant
0,1
0,2
0,3
1,4
0,5
3,6
6,7
3,8
6,9
6,10
3,11
7,12
6,13
7,14
7,15
6,16
7,17
5,18
3,19
5,20
3,21
7,22
1,23
23,24
17,25
6,26
3,27
7,28
6,29
7,30
3,31
22,32
6,33
27,34
1,35
32,36
16,37
36,38
7,39
37,40
7,41
21,42
25,43
34,44
6,45
36,46
37,47
7,48
6,49
34,50
49,51
11,52
42,53
7,54
46,55
32,56
7,57
56,58
53,59
3,60
56,61
21,62
6,63
44,64
37,65
36,66
37,67
67,68
37,69
56,70
68,71
53,72
37,73
53,74
3,75
37,76
7,77
57,78
57,79
61,80
79,81
3,82
34,83
53,84
80,85
53,86
65,87
23,88
81,89
68,90
65,91
80,92
16,93
6,94
37,95
80,96
53,97
83,98
79,99
78,100
98,101
39,102
95,103
92,104
37,105
99,106
99,107
6,108
99,109
56,110
98,111
99,112
38,113
99,114
78,115
79,116
80,117
16,118
99,119
22,120
45,121
99,122
106,123
95,124
116,125
116,126
97,127
80,128
99,129
106,130
70,131
68,132
132,133
80,134
124,135
98,136
99,137
100,138
92,139
136,140
99,141
106,142
95,143
138,144
98,145
140,146
124,147
99,148
127,149
62,150
150,151
142,152
150,153
