ID,epiweek,region
0,0,1
1,1,1
2,1,1
3,1,2
4,1,1
5,1,1
6,1,2
7,2,2
8,3,1
9,3,1
10,3,1
11,4,2
12,4,1
13,4,1
14,5,1
15,5,2
16,5,1
17,5,1
18,5,2
19,5,2
20,6,2
21,7,1
22,7,1
23,7,2
24,8,1
25,8,2
26,8,1
27,8,2
28,9,2
29,10,1
30,10,1
31,10,1
32,10,2
33,10,1
34,11,2
35,11,1
36,11,1
37,11,2
38,11,2
39,11,2
40,11,1
41,11,2
42,11,2
43,11,2
44,11,2
45,11,2
46,11,1
47,12,1
48,12,2
49,12,1
50,12,1
51,12,2
52,12,1
53,12,2
54,12,1
55,12,1
56,12,2
57,13,2
58,13,2
59,13,1
60,13,2
61,13,2
62,13,2
63,13,2
64,13,1
65,13,2
66,13,1
67,13,2
68,13,2
69,13,1
70,13,2
71,14,2
72,14,2
73,14,1
74,14,1
75,14,2
76,15,2
77,16,1
78,17,1
79,18,2
80,19,2
81,19,1
82,19,2
83,19,2
84,19,2
85,19,1
86,19,2
87,20,1
88,21,1
89,21,1
90,22,2
91,22,2
92,23,1
93,23,1
94,23,2
95,23,2
96,24,2
97,24,1
98,24,2
99,24,2
100,24,2
101,24,1
102,24,2
103,24,1
104,24,2
105,24,1
106,24,2
107,24,1
108,24,1
109,24,2
110,24,1
111,25,2
112,25,1
113,25,1
114,25,2
115,25,1
116,26,2
117,26,2
118,27,2
119,27,2
120,27,1
121,27,2
122,27,2
123,28,1
124,28,2
125,29,1
126,29,1
127,29,2
128,29,2
129,29,1
130,29,1
131,29,1
132,30,1
133,30,1
134,31,1
135,31,1
136,31,2
137,31,2
138,31,2
139,31,2
140,31,2
141,32,1
142,33,1
143,34,2
144,34,1
145,35,1
146,35,1
147,35,1
148,35,1
149,35,1
150,35,2
151,36,1
152,36,2
153,36,1
